Year ID,Year,Exhibition ID,Exhibition Title,Exhibition Name,Overall Theme,Gallery ID,Gallery,Location ID,Location,Gallery Score
25,2021,43,Julie Mehretu,Julie Mehretu, exploring the complexity of the human experience than in making a direct statement about any particular issue.,29,"Los Angeles County Museum of Art; High Museum of Art Atlanta, and Whitney Museum of American Art",11," Los Angeles, USA ",90
35,2019,44,Black and Blue: Paintings from the Collections of Jordan D. Schnitzer and His Family Foundation,Black and Blue: Paintings from the Collections of Jordan D. Schnitzer and His Family Foundation," The exhibition features a wide range of works by African American artists, from the early 20th century to the present day. ",30,  Tacoma Art Museum and the Frye Art Museum ,19,Tacoma and Seattle    ,63
25,2021,45, Julie Mehretu: Drawings , Julie Mehretu: Drawings , Exploration of Mehretu's artistic process and use of drawing as a fundamental tool in her practice ,8,Marian Goodman Gallery,8," London, UK ",79
31,2020,46, Julie Mehretu: Stadia II , Julie Mehretu: Stadia II ," Survey exhibition of Mehretu's work from the past two decades, focusing on her engagement with social and political issues ",31,Los Angeles County Museum of Art (LACMA),11," Los Angeles, CA, USA ",88
2,2023,47, Guided Tour of the Exhibition Dedicated to Julie Mehretu at Pace Gallery , Selections from Pace Prints: Julie Mehretu , Exploration of Mehretu's printmaking practice and its connection to her broader artistic practice ,32,Pace Prints,16," New York, USA ",65
2,2023,48, Julie Mehretu: Crossroads , Crossroads ," A new series of large-scale paintings and drawings that explore themes of migration, displacement, and the search for belonging ",33,Hauser & Wirth,18," Somerset, UK ",89
2,2023,49, Julie Mehretu: Drawings and Gouaches , Julie Mehretu: Drawings and Gouaches ," A focused look at Mehretu's drawings and gouaches, showcasing her unique and expressive mark-making ",6,David Zwirner,16," New York, USA ",91
66,2002,50, Julie Mehretu: Stadia I-III , Julie Mehretu: Stadia I-III ," Explorations of urban landscapes, globalized networks, and historical events ",34,The Power Plant,20," Toronto, Canada ",67
63,2003,51, Julie Mehretu: Drawn From the City , Julie Mehretu: Drawn From the City , Urban spaces and their impact on identity and social dynamics ,23,The Studio Museum in Harlem,16," New York City, USA ",77
59,2005,52, Julie Mehretu: The Persistence of History , Julie Mehretu: The Persistence of History , Influence of historical events and colonialism on contemporary society ,35,The Renaissance Society at the University of Chicago,4," Chicago, USA ",65
57,2007,53, Julie Mehretu: A Universal Address , Julie Mehretu: A Universal Address , Interconnectedness and globalization in the 21st century ,36,The Hammer Museum,11," Los Angeles, USA ",78
54,2008,54, Julie Mehretu: Black City , Julie Mehretu: Black City ," Exploration of urban landscapes and social spaces, particularly focusing on African American communities ",24,The Metropolitan Museum of Art,16," New York City, USA ",99
35,2019,55, Julie Mehretu: From the Atlas of Emptiness to the Black City , Julie Mehretu: From the Atlas of Emptiness to the Black City , Retrospective showcasing various bodies of works throughout Mehretu's career ,37,"The Museum of Fine Arts, Boston",3," Boston, USA ",86
44,2014,56, Julie Mehretu: Stadia II ," The Shed, New York "," Mehretu's exploration of the relationship between architecture, movement, and power through abstract paintings. ",38,The Pace Gallery,16," New York, USA ",81
19,2022,57," Julie Mehretu: Mogamma, an index ", Art Institute of Chicago ," Mehretu's engagement with the complex history and legacy of the Mogamma building in Cairo, Egypt.  ",15,Art Institute of Chicago,4," Chicago, USA ",95
2,2023,58, The Broad , The Broad , Continuation of the exploration of the Mogamma building. ,21,The Broad,11," Los Angeles, USA ",86
2,2023,59," Julie Mehretu: Black Ground, Lines of Sight ", Metropolitan Museum of Art ," Mehretu's first major solo exhibition at the Metropolitan Museum of Art, focusing on her recent works and highlighting the development of her artistic practice. ",39,Metropolitan Museum of Art,16," New York, USA ",99
63,2003,60, Julie Mehretu , Drawing Papers ," Mehretu's early works on paper exploring themes of urbanism, architecture, and mapping. ",40,The Drawing Center,16," New York, NY ",66
59,2005,61, Julie Mehretu ," Stadia I, II, and III ", Exploration of historical and contemporary representations of power and public space. ,23,The Studio Museum in Harlem,16," New York, NY ",77
54,2008,62, Julie Mehretu , Black City ," Retrospective exhibition showcasing Mehretu's artistic development and engagement with global politics, migration, and the African diaspora. ",3,The Museum of Modern Art,16," New York, NY ",98
50,2010,63, Julie Mehretu , Grey City ," Focused exploration of the artist's signature ""grey city"" paintings. ",24,The Metropolitan Museum of Art,16," New York, NY ",99
46,2013,64, Julie Mehretu , From the Studio: Julie Mehretu , Examination of Mehretu's working process and influences. ,7,Hammer Museum,11," Los Angeles, CA ",78
42,2015,65, Julie Mehretu , The Drawings: Julie Mehretu , Comprehensive exhibition of Mehretu's drawings spanning two decades. ,41,The Morgan Library & Museum,16," New York, NY ",78
35,2019,66, Julie Mehretu , Liquid City ," Recent works exploring themes of fluidity, movement, and the interconnectedness of global society. ",11,Whitechapel Gallery,8," London, UK ",74
